suburb,latitude,longitude,postcode,local_government_area
"Bellfield, Victoria",-37.754,145.045,3081,City of Banyule
"Lang Lang, Victoria",-38.267,145.567,3984,Shire of Cardinia
"Koo Wee Rup North, Victoria",-38.148,145.53,3891,Shire of Cardinia
"Monomeith, Victoria",-38.206,145.554,3984,Shire of Cardinia
"Lang Lang East, Victoria",-38.25,145.65,3894,Shire of Cardinia
"Maryknoll, Victoria",-38.032,145.602,3812,Shire of Cardinia
"Koo Wee Rup, Victoria",-38.198,145.489,3981,Shire of Cardinia
"Mount Burnett, Victoria",-37.983,145.5,3781,Shire of Cardinia
"Modella, Victoria",-38.183,145.717,3816,Shire of Cardinia
"Longwarry, Victoria",-38.1,145.76667,3816,Shire of Cardinia
"Menzies Creek, Victoria",-37.931,145.398,3159,Shire of Cardinia
"Heath Hill, Victoria",-38.244,145.692,3981,Shire of Cardinia
"Iona, Victoria",-38.15,145.683,3815,Shire of Cardinia
"Guys Hill, Victoria",-38.017,145.386,3807,Shire of Cardinia
"Gembrook, Victoria",-37.95,145.541,3783,Shire of Cardinia
"Garfield North, Victoria",-38.05,145.683,3814,Shire of Cardinia
"Yering, Victoria",-37.706,145.382,3770,Shire of Yarra Ranges
"Yellingbo, Victoria",-37.81,145.51,3139,Shire of Yarra Ranges
"Yarra Junction, Victoria",-37.779,145.606,3797,Shire of Yarra Ranges
"Yarra Glen, Victoria",-37.64889,145.37194,3775,Shire of Yarra Ranges
"Wandin North, Victoria",-37.769,145.411,3139,Shire of Yarra Ranges
"Wandin East, Victoria",-37.811,145.453,3139,Shire of Yarra Ranges
"Tremont, Victoria",-37.88,145.324,3785,Shire of Yarra Ranges
"Woori Yallock, Victoria",-37.778,145.528,3139,Shire of Yarra Ranges
"Wesburn, Victoria",-37.767,145.647,3799,Shire of Yarra Ranges
"Warburton East, Victoria",-37.733,145.733,3799,Shire of Yarra Ranges
"Warburton, Victoria",-37.755,145.697,3799,Shire of Yarra Ranges
"Toorongo, Victoria",-37.783,146.117,3833,Shire of Yarra Ranges
"Tarrawarra, Victoria",-37.657,145.424,3775,Shire of Yarra Ranges
"Silvan, Victoria",-37.824,145.421,3795,Shire of Yarra Ranges
"Sherbrooke, Victoria",-37.885,145.36,3789,Shire of Yarra Ranges
